name	taxid
Cryptosporidium_parvum	5807
Toxoplasma_gondii	5811
Plasmodium_berghei	5821
Plasmodium_chabaudi	5825
Plasmodium_cynomolgi	5827
Plasmodium_falciparum	5833
Plasmodium_knowlesi	5850
Plasmodium_vivax	5855
Plasmodium_yoelii	5861
Babesia_bovis	5865
Babesia_microti	5868
Theileria_equi	5872
Theileria_annulata	5874
Theileria_parva	5875
Paramecium_tetraurelia	5888
Tetrahymena_thermophila	5911
Encephalitozoon_cuniculi	6035
Hydra_vulgaris	6087
Schistosoma_mansoni	6183
Schistosoma_haematobium	6185
Opisthorchis_viverrini	6198
Echinococcus_granulosus	6210
Caenorhabditis_briggsae	6238
Caenorhabditis_elegans	6239
Brugia_malayi	6279
Trichinella_spiralis	6334
Helobdella_robusta	6412
Mizuhopecten_yessoensis	6573
Daphnia_pulex	6669
Ixodes_scapularis	6945
Acyrthosiphon_pisum	7029
Tribolium_castaneum	7070
Bombyx_mori	7091
Aedes_aegypti	7159
Anopheles_gambiae	7165
Culex_quinquefasciatus	7176
Loa_loa	7209
Drosophila_ananassae	7217
Drosophila_erecta	7220
Drosophila_grimshawi	7222
Drosophila_melanogaster	7227
Drosophila_mojavensis	7230
Drosophila_persimilis	7234
Drosophila_pseudoobscura	7237
Drosophila_sechellia	7238
Drosophila_simulans	7240
Drosophila_virilis	7244
Drosophila_yakuba	7245
Drosophila_willistoni	7260
Musca_domestica	7370
Nasonia_vitripennis	7425
Apis_mellifera	7460
Lingula_anatina	7574
Strongylocentrotus_purpuratus	7668
Ciona_intestinalis	7719
Branchiostoma_floridae	7739
Callorhinchus_milii	7868
Latimeria_chalumnae	7897
Danio_rerio	7955
Cyprinus_carpio	7962
Astyanax_mexicanus	7994
Ictalurus_punctatus	7998
Esox_lucius	8010
Salmo_salar	8030
Poecilia_reticulata	8081
Xiphophorus_maculatus	8083
Oryzias_latipes	8090
Lates_calcarifer	8187
Notothenia_coriiceps	8208
Xenopus_laevis	8355
Xenopus_tropicalis	8364
Chelonia_mydas	8469
Chrysemys_picta	8479
Alligator_mississippiensis	8496
Apteryx_australis	8822
Anas_platyrhynchos	8839
Anser_cygnoides	8845
Columba_livia	8932
Falco_peregrinus	8954
Gallus_gallus	9031
Meleagris_gallopavo	9103
Parus_major	9157
Ornithorhynchus_anatinus	9258
Sarcophilus_harrisii	9305
Pteropus_alecto	9402
Callithrix_jacchus	9483
Macaca_fascicularis	9541
Macaca_mulatta	9544
Gorilla_gorilla	9593
Pan_paniscus	9597
Pan_troglodytes	9598
Pongo_abelii	9601
Homo_sapiens	9606
Canis_lupus	9612
Ailuropoda_melanoleuca	9646
Felis_catus	9685
Panthera_tigris	9694
Odobenus_rosmarus	9707
Orcinus_orca	9733
Balaenoptera_acutorostrata	9767
Trichechus_manatus	9778
Loxodonta_africana	9785
Equus_asinus	9793
Equus_caballus	9796
Equus_przewalskii	9798
Sus_scrofa	9823
Camelus_dromedarius	9838
Bos_taurus	9913
Bos_indicus	9915
Capra_hircus	9925
Ovis_aries	9940
Oryctolagus_cuniculus	9986
Cricetulus_griseus	10029
Mus_musculus	10090
Rattus_norvegicus	10116
Heterocephalus_glaber	10181
Saccoglossus_kowalevskii	10224
Trichoplax_adhaerens	10228
Atta_cephalotes	12957
Danaus_plexippus	13037
Amborella_trichopoda	13333
Burkholderia_mallei	13373
Monodelphis_domestica	13616
Parastagonospora_nodorum	13684
Solenopsis_invicta	13686
Sphingobium_yanoikuyae	13690
Pelodiscus_sinensis	13735
Natrialba_magadii	13769
Pyrobaculum_aerophilum	13773
Brachypodium_distachyon	15368
Naumovozyma_castellii	27288
Naumovozyma_dairenensis	27289
Verticillium_dahliae	27337
Saimiri_boliviensis	27679
Encephalitozoon_hellem	27973
Bifidobacterium_animalis	28025
Bifidobacterium_pseudocatenulatum	28026
Corynebacterium_flavescens	28028
Lysinibacillus_fusiformis	28031
Staphylococcus_lugdunensis	28035
Streptococcus_mitis	28037
Lactobacillus_curvatus	28038
Acidothermus_cellulolyticus	28049
Rubrivivax_gelatinosus	28068
Nostoc_sp._PCC_7524	28072
Nitrospirillum_amazonense	28077
Legionella_sainthelensi	28087
Neisseria_weaveri	28091
Burkholderia_gladioli	28095
Pseudoalteromonas_espejiana	28107
Alteromonas_macleodii	28108
Pseudoalteromonas_nigrifaciens	28109
Francisella_philomiragia	28110
Tannerella_forsythia	28112
Bacteroides_heparinolyticus	28113
Bacteroides_ovatus	28116
Odoribacter_splanchnicus	28118
Bacteroides_zoogleoformans	28119
Porphyromonas_asaccharolytica	28123
Prevotella_denticola	28129
Prevotella_intermedia	28131
Prevotella_melaninogenica	28132
Cronobacter_sakazakii	28141
Serratia_proteamaculans	28151
Yersinia_kristensenii	28152
Vibrio_nigripulchritudo	28173
Leptospira_santarosai	28183
Acetohalobium_arabaticum	28187
Capnocytophaga_canimorsus	28188
Capnocytophaga_cynodegmi	28189
Arcobacter_butzleri	28197
Arcobacter_nitrofigilis	28199
Desulfobacula_toluolica	28223
Mycoplasma_penetrans	28227
Colwellia_psychrerythraea	28229
Geobacter_metallireducens	28232
Ornithobacterium_rhinotracheale	28251
Cobetia_marina	28258
